event_id,query_id,sku_clicked,position,clicked
EVT-00001,Q043,RW-1014,2,1
EVT-00002,Q015,RW-1133,7,1
EVT-00003,Q023,RW-1297,3,1
EVT-00004,Q034,RW-1019,2,1
EVT-00005,Q014,RW-1305,1,1
EVT-00006,Q056,RW-1176,1,1
EVT-00007,Q094,RW-1160,1,1
EVT-00008,Q056,RW-1310,5,1
EVT-00009,Q066,RW-1059,3,1
EVT-00010,Q050,RW-1295,3,1
EVT-00011,Q025,RW-1130,1,1
EVT-00012,Q006,RW-1362,8,1
EVT-00013,Q056,RW-1000,5,1
EVT-00014,Q067,RW-1275,1,1
EVT-00015,Q088,RW-1368,1,1
EVT-00016,Q095,RW-1377,1,1
EVT-00017,Q086,RW-1100,1,1
EVT-00018,Q047,RW-1220,2,1
EVT-00019,Q009,RW-1340,2,1
EVT-00020,Q118,RW-1169,1,1
EVT-00021,Q080,RW-1160,3,1
EVT-00022,Q085,RW-1063,1,1
EVT-00023,Q093,RW-1153,1,1
EVT-00024,Q065,RW-1158,2,1
EVT-00025,Q086,RW-1209,2,1
EVT-00026,Q042,RW-1206,4,1
EVT-00027,Q090,RW-1151,1,1
EVT-00028,Q071,RW-1065,2,1
EVT-00029,Q025,RW-1215,2,1
EVT-00030,Q086,RW-1194,1,1
EVT-00031,Q087,RW-1383,3,1
EVT-00032,Q116,RW-1089,1,1
EVT-00033,Q079,RW-1291,1,1
EVT-00034,Q039,RW-1207,7,1
EVT-00035,Q071,RW-1000,8,1
EVT-00036,Q039,RW-1146,4,1
EVT-00037,Q027,RW-1220,1,1
EVT-00038,Q101,RW-1296,1,1
EVT-00039,Q078,RW-1335,3,1
EVT-00040,Q042,RW-1238,2,1
EVT-00041,Q057,RW-1226,1,1
EVT-00042,Q087,RW-1109,2,1
EVT-00043,Q066,RW-1242,1,1
EVT-00044,Q102,RW-1376,6,1
EVT-00045,Q022,RW-1337,1,1
EVT-00046,Q011,RW-1145,3,1
EVT-00047,Q066,RW-1339,1,1
EVT-00048,Q082,RW-1317,2,1
EVT-00049,Q043,RW-1047,2,1
EVT-00050,Q105,RW-1384,1,1
EVT-00051,Q031,RW-1344,8,1
EVT-00052,Q040,RW-1115,4,1
EVT-00053,Q104,RW-1101,7,1
EVT-00054,Q019,RW-1012,6,1
EVT-00055,Q006,RW-1125,2,1
EVT-00056,Q061,RW-1312,6,1
EVT-00057,Q109,RW-1393,1,1
EVT-00058,Q010,RW-1233,1,1
EVT-00059,Q054,RW-1322,1,1
EVT-00060,Q074,RW-1099,1,1
EVT-00061,Q092,RW-1356,2,1
EVT-00062,Q050,RW-1253,1,1
EVT-00063,Q052,RW-1124,4,1
EVT-00064,Q019,RW-1335,2,1
EVT-00065,Q089,RW-1002,1,1
EVT-00066,Q115,RW-1384,2,1
EVT-00067,Q111,RW-1394,1,1
EVT-00068,Q114,RW-1054,4,1
EVT-00069,Q100,RW-1217,1,1
EVT-00070,Q029,RW-1090,9,1
EVT-00071,Q103,RW-1356,4,1
EVT-00072,Q067,RW-1237,1,1
EVT-00073,Q007,RW-1285,1,1
EVT-00074,Q032,RW-1062,4,1
EVT-00075,Q059,RW-1068,3,1
EVT-00076,Q103,RW-1237,3,1
EVT-00077,Q086,RW-1271,4,1
EVT-00078,Q072,RW-1304,1,1
EVT-00079,Q041,RW-1386,2,1
EVT-00080,Q115,RW-1226,1,1
EVT-00081,Q079,RW-1368,5,1
EVT-00082,Q115,RW-1258,3,1
EVT-00083,Q055,RW-1280,1,1
EVT-00084,Q058,RW-1081,1,1
EVT-00085,Q096,RW-1243,1,1
EVT-00086,Q058,RW-1132,1,1
EVT-00087,Q097,RW-1126,3,1
EVT-00088,Q108,RW-1326,3,1
EVT-00089,Q036,RW-1392,5,1
EVT-00090,Q100,RW-1266,2,1
EVT-00091,Q063,RW-1320,1,1
EVT-00092,Q031,RW-1140,3,1
EVT-00093,Q057,RW-1039,4,1
EVT-00094,Q092,RW-1146,2,1
EVT-00095,Q031,RW-1139,4,1
EVT-00096,Q043,RW-1163,2,1
EVT-00097,Q115,RW-1276,2,1
EVT-00098,Q011,RW-1070,2,1
EVT-00099,Q020,RW-1118,1,1
EVT-00100,Q050,RW-1355,1,1
EVT-00101,Q020,RW-1361,1,1
EVT-00102,Q028,RW-1032,3,1
EVT-00103,Q054,RW-1208,1,1
EVT-00104,Q043,RW-1277,2,1
EVT-00105,Q060,RW-1212,6,1
EVT-00106,Q008,RW-1105,1,1
EVT-00107,Q107,RW-1215,2,1
EVT-00108,Q050,RW-1394,4,1
EVT-00109,Q075,RW-1356,1,1
EVT-00110,Q003,RW-1391,1,1
EVT-00111,Q074,RW-1194,1,1
EVT-00112,Q062,RW-1003,1,1
EVT-00113,Q046,RW-1152,6,1
EVT-00114,Q097,RW-1199,4,1
EVT-00115,Q110,RW-1214,3,1
EVT-00116,Q069,RW-1382,5,1
EVT-00117,Q095,RW-1279,4,1
EVT-00118,Q103,RW-1308,1,1
EVT-00119,Q115,RW-1112,6,1
EVT-00120,Q063,RW-1112,2,1
EVT-00121,Q035,RW-1223,4,1
EVT-00122,Q063,RW-1014,6,1
EVT-00123,Q050,RW-1172,1,1
EVT-00124,Q086,RW-1347,1,1
EVT-00125,Q103,RW-1207,1,1
EVT-00126,Q093,RW-1084,2,1
EVT-00127,Q108,RW-1239,4,1
EVT-00128,Q118,RW-1065,5,1
EVT-00129,Q080,RW-1273,1,1
EVT-00130,Q004,RW-1201,2,1
EVT-00131,Q076,RW-1288,2,1
EVT-00132,Q085,RW-1013,1,1
EVT-00133,Q011,RW-1329,1,1
EVT-00134,Q055,RW-1069,1,1
EVT-00135,Q111,RW-1236,7,1
EVT-00136,Q024,RW-1025,1,1
EVT-00137,Q034,RW-1194,2,1
EVT-00138,Q042,RW-1108,3,1
EVT-00139,Q059,RW-1167,2,1
EVT-00140,Q044,RW-1389,8,1
EVT-00141,Q113,RW-1194,8,1
EVT-00142,Q036,RW-1385,1,1
EVT-00143,Q107,RW-1215,2,1
EVT-00144,Q033,RW-1041,1,1
EVT-00145,Q061,RW-1009,1,1
EVT-00146,Q096,RW-1276,1,1
EVT-00147,Q007,RW-1179,3,1
EVT-00148,Q029,RW-1332,2,1
EVT-00149,Q009,RW-1399,1,1
EVT-00150,Q084,RW-1020,1,1
EVT-00151,Q097,RW-1015,6,1
EVT-00152,Q032,RW-1102,1,1
EVT-00153,Q108,RW-1010,1,1
EVT-00154,Q080,RW-1078,2,1
EVT-00155,Q031,RW-1064,9,1
EVT-00156,Q061,RW-1342,1,1
EVT-00157,Q015,RW-1288,3,1
EVT-00158,Q028,RW-1238,4,1
EVT-00159,Q090,RW-1131,1,1
EVT-00160,Q099,RW-1188,3,1
EVT-00161,Q022,RW-1310,2,1
EVT-00162,Q078,RW-1382,3,1
EVT-00163,Q092,RW-1058,3,1
EVT-00164,Q100,RW-1083,2,1
EVT-00165,Q040,RW-1055,1,1
EVT-00166,Q075,RW-1013,5,1
EVT-00167,Q119,RW-1159,1,1
EVT-00168,Q074,RW-1346,1,1
EVT-00169,Q117,RW-1192,1,1
EVT-00170,Q051,RW-1366,2,1
EVT-00171,Q026,RW-1038,3,1
EVT-00172,Q076,RW-1353,1,1
EVT-00173,Q107,RW-1321,2,1
EVT-00174,Q032,RW-1052,1,1
EVT-00175,Q090,RW-1395,3,1
EVT-00176,Q039,RW-1350,1,1
EVT-00177,Q077,RW-1061,3,1
EVT-00178,Q102,RW-1289,2,1
EVT-00179,Q101,RW-1021,7,1
EVT-00180,Q045,RW-1272,1,1
EVT-00181,Q055,RW-1338,1,1
EVT-00182,Q048,RW-1035,1,1
EVT-00183,Q065,RW-1331,6,1
EVT-00184,Q044,RW-1006,5,1
EVT-00185,Q109,RW-1215,1,1
EVT-00186,Q106,RW-1250,3,1
EVT-00187,Q014,RW-1221,4,1
EVT-00188,Q047,RW-1325,2,1
EVT-00189,Q115,RW-1235,2,1
EVT-00190,Q091,RW-1078,1,1
EVT-00191,Q056,RW-1090,1,1
EVT-00192,Q094,RW-1267,6,1
EVT-00193,Q084,RW-1138,6,1
EVT-00194,Q079,RW-1275,3,1
EVT-00195,Q100,RW-1247,1,1
EVT-00196,Q060,RW-1223,1,1
EVT-00197,Q106,RW-1374,3,1
EVT-00198,Q076,RW-1137,6,1
EVT-00199,Q042,RW-1125,5,1
EVT-00200,Q107,RW-1044,4,1
EVT-00201,Q036,RW-1230,3,1
EVT-00202,Q032,RW-1384,1,1
EVT-00203,Q060,RW-1291,1,1
EVT-00204,Q079,RW-1342,6,1
EVT-00205,Q049,RW-1172,3,1
EVT-00206,Q004,RW-1253,1,1
EVT-00207,Q109,RW-1166,1,1
EVT-00208,Q024,RW-1249,3,1
EVT-00209,Q028,RW-1181,1,1
EVT-00210,Q103,RW-1132,1,1
EVT-00211,Q044,RW-1143,2,1
EVT-00212,Q113,RW-1305,3,1
EVT-00213,Q090,RW-1141,3,1
EVT-00214,Q072,RW-1005,1,1
EVT-00215,Q067,RW-1097,3,1
EVT-00216,Q011,RW-1123,1,1
EVT-00217,Q093,RW-1208,1,1
EVT-00218,Q063,RW-1284,3,1
EVT-00219,Q098,RW-1123,3,1
EVT-00220,Q089,RW-1243,5,1
EVT-00221,Q083,RW-1364,3,1
EVT-00222,Q063,RW-1229,2,1
EVT-00223,Q102,RW-1008,1,1
EVT-00224,Q012,RW-1150,2,1
EVT-00225,Q029,RW-1207,1,1
EVT-00226,Q089,RW-1124,1,1
EVT-00227,Q040,RW-1339,8,1
EVT-00228,Q075,RW-1188,2,1
EVT-00229,Q061,RW-1283,6,1
EVT-00230,Q068,RW-1176,3,1
EVT-00231,Q055,RW-1381,4,1
EVT-00232,Q071,RW-1169,2,1
EVT-00233,Q046,RW-1359,2,1
EVT-00234,Q059,RW-1138,2,1
EVT-00235,Q040,RW-1128,1,1
EVT-00236,Q030,RW-1061,3,1
EVT-00237,Q093,RW-1098,1,1
EVT-00238,Q041,RW-1061,1,1
EVT-00239,Q096,RW-1274,3,1
EVT-00240,Q098,RW-1353,1,1
EVT-00241,Q024,RW-1098,7,1
EVT-00242,Q028,RW-1378,7,1
EVT-00243,Q062,RW-1141,6,1
EVT-00244,Q093,RW-1301,2,1
EVT-00245,Q098,RW-1268,1,1
EVT-00246,Q077,RW-1144,6,1
EVT-00247,Q013,RW-1099,2,1
EVT-00248,Q038,RW-1116,8,1
EVT-00249,Q047,RW-1091,8,1
EVT-00250,Q039,RW-1007,5,1
EVT-00251,Q091,RW-1273,1,1
EVT-00252,Q017,RW-1140,2,1
EVT-00253,Q006,RW-1027,5,1
EVT-00254,Q071,RW-1149,1,1
EVT-00255,Q090,RW-1064,1,1
EVT-00256,Q082,RW-1385,2,1
EVT-00257,Q063,RW-1052,7,1
EVT-00258,Q112,RW-1006,3,1
EVT-00259,Q074,RW-1145,2,1
EVT-00260,Q061,RW-1245,1,1
EVT-00261,Q057,RW-1174,3,1
EVT-00262,Q024,RW-1026,10,1
EVT-00263,Q033,RW-1244,1,1
EVT-00264,Q015,RW-1033,2,1
EVT-00265,Q052,RW-1251,5,1
EVT-00266,Q010,RW-1295,3,1
EVT-00267,Q081,RW-1351,3,1
EVT-00268,Q007,RW-1077,3,1
EVT-00269,Q020,RW-1288,2,1
EVT-00270,Q039,RW-1043,1,1
EVT-00271,Q032,RW-1060,4,1
EVT-00272,Q072,RW-1391,4,1
