sku,title,description,category,material,origin_district,price_rwf,artisan_id
RW-1000,Rwandan Kitenge Dress,Beautiful handmade kitenge dress with traditional African patterns made by local artisans in Kigali,apparel,cotton,Kimironko,31184,ART-001
RW-1001,Cotton Wrap Skirt,Handwoven cotton wrap skirt made by local artisans in Rwanda cooperative,apparel,linen,Kicukiro,8556,ART-002
RW-1002,Linen Safari Shirt,Lightweight linen shirt perfect for Rwandan climate handmade locally,apparel,silk,Gasabo,74097,ART-003
RW-1003,Imigongo Print Shirt,Shirt featuring traditional Rwandan Imigongo geometric art patterns,apparel,wool,Musanze,66196,ART-004
RW-1004,Handmade Wool Sweater,Warm wool sweater knitted by Kigali women cooperative artisans,apparel,kitenge,Huye,60513,ART-005
RW-1005,Kitenge Blazer,Professional blazer made from authentic African kitenge fabric Rwanda,apparel,cotton,Rubavu,38579,ART-006
RW-1006,Cotton Summer Dress,Light cotton dress handmade by local Rwandan seamstress cooperative,apparel,linen,Muhanga,28868,ART-007
RW-1007,African Print Jumpsuit,Trendy jumpsuit made from local African print fabric Kigali artisan,apparel,silk,Kimironko,144964,ART-008
RW-1008,Rwandan Kitenge Dress,Beautiful handmade kitenge dress with traditional African patterns made by local artisans in Kigali,apparel,wool,Kicukiro,24790,ART-009
RW-1009,Cotton Wrap Skirt,Handwoven cotton wrap skirt made by local artisans in Rwanda cooperative,apparel,kitenge,Gasabo,112604,ART-010
RW-1010,Linen Safari Shirt,Lightweight linen shirt perfect for Rwandan climate handmade locally,apparel,cotton,Musanze,10331,ART-011
RW-1011,Imigongo Print Shirt,Shirt featuring traditional Rwandan Imigongo geometric art patterns,apparel,linen,Huye,9811,ART-012
RW-1012,Handmade Wool Sweater,Warm wool sweater knitted by Kigali women cooperative artisans,apparel,silk,Rubavu,26561,ART-013
RW-1013,Kitenge Blazer,Professional blazer made from authentic African kitenge fabric Rwanda,apparel,wool,Muhanga,59314,ART-014
RW-1014,Cotton Summer Dress,Light cotton dress handmade by local Rwandan seamstress cooperative,apparel,kitenge,Kimironko,62990,ART-015
RW-1015,African Print Jumpsuit,Trendy jumpsuit made from local African print fabric Kigali artisan,apparel,cotton,Kicukiro,134475,ART-016
RW-1016,Rwandan Kitenge Dress,Beautiful handmade kitenge dress with traditional African patterns made by local artisans in Kigali,apparel,linen,Gasabo,8956,ART-017
RW-1017,Cotton Wrap Skirt,Handwoven cotton wrap skirt made by local artisans in Rwanda cooperative,apparel,silk,Musanze,149127,ART-018
RW-1018,Linen Safari Shirt,Lightweight linen shirt perfect for Rwandan climate handmade locally,apparel,wool,Huye,54124,ART-019
RW-1019,Imigongo Print Shirt,Shirt featuring traditional Rwandan Imigongo geometric art patterns,apparel,kitenge,Rubavu,144853,ART-020
RW-1020,Handmade Wool Sweater,Warm wool sweater knitted by Kigali women cooperative artisans,apparel,cotton,Muhanga,111974,ART-021
RW-1021,Kitenge Blazer,Professional blazer made from authentic African kitenge fabric Rwanda,apparel,linen,Kimironko,59787,ART-022
